Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Sonny Jurgensen*\JurgSo00,WAS,33,QB,14,14,5-6-3,288,508,56.7,3747,31,6.1,16,3.1,86,7.4,7.2,13.0,267.6,87.3,,,,,,4,2
2,Johnny Unitas*+\UnitJo00,BAL,34,QB,14,14,11-1-2,255,436,58.5,3428,20,4.6,16,3.7,88,7.9,7.1,13.4,244.9,83.6,,,,,,4,3
3,Norm Snead\SneaNo00,PHI,28,QB,14,14,6-7-1,240,434,55.3,3399,29,6.7,24,5.5,87,7.8,6.7,14.2,242.8,80.0,,,,,,0,1
4,Jim Hart\HartJi00,STL,23,QB,14,14,6-7-1,192,397,48.4,3008,19,4.8,30,7.6,76,7.6,5.1,15.7,214.9,58.4,,,,,,2,2
5,Fran Tarkenton*\TarkFr00,NYG,27,QB,14,14,7-7-0,204,377,54.1,3088,29,7.7,19,5.0,70,8.2,7.5,15.1,220.6,85.9,,,,,,2,2
6,Roman Gabriel*\GabrRo00,RAM,27,QB,14,14,11-1-2,196,371,52.8,2779,25,6.7,13,3.5,80,7.5,7.3,14.2,198.5,85.2,,,,,,3,1
7,John Brodie\BrodJo00,SFO,32,QB,14,10,5-5-0,168,349,48.1,2013,11,3.2,16,4.6,63,5.8,4.3,12.0,143.8,57.6,,,,,,2,2
8,Randy Johnson\JohnRa00,ATL,23,QB,14,12,1-10-1,142,288,49.3,1620,10,3.5,21,7.3,82,5.6,3.0,11.4,115.7,47.8,,,,,,,
9,Frank Ryan\RyanFr00,CLE,31,QB,13,13,9-4-0,136,280,48.6,2026,20,7.1,16,5.7,49,7.2,6.1,14.9,155.8,72.7,,,,,,1,1
10,Kent Nix\NixxKe00,PIT,23,QB,12,9,3-6-0,136,268,50.7,1587,8,3.0,19,7.1,66,5.9,3.3,11.7,132.3,49.5,,,,,,,
11,Gary Cuozzo\CuozGa00,NOR,26,QB,13,10,3-7-0,134,260,51.5,1562,7,2.7,12,4.6,49,6.0,4.5,11.7,120.2,59.8,,,,,,,
12,Don Meredith*\MereDo00,DAL,29,QB,11,11,7-4-0,128,255,50.2,1834,16,6.3,16,6.3,60,7.2,5.6,14.3,166.7,68.7,,,,,,1,1
13,Joe Kapp\KappJo00,MIN,29,QB,13,11,3-5-3,102,214,47.7,1386,8,3.7,17,7.9,85,6.5,3.6,13.6,106.6,48.2,,,,,,3,2
14,Bart Starr\StarBa00,GNB,33,QB,14,12,8-3-1,115,210,54.8,1823,9,4.3,17,8.1,84,8.7,5.9,15.9,130.2,64.4,,,,,,1,2
15,Billy Kilmer\KilmBi00,NOR,28,qb,10,4,0-4-0,97,204,47.5,1341,6,2.9,11,5.4,96,6.6,4.7,13.8,134.1,56.4,,,,,,1,1
16,Jack Concannon\ConcJa00,CHI,24,QB,13,12,7-4-1,92,186,49.5,1260,6,3.2,14,7.5,93,6.8,4.0,13.7,96.9,50.9,,,,,,,
17,Karl Sweetan\SweeKa00,DET,25,QB,10,8,4-3-1,74,177,41.8,901,10,5.6,11,6.2,52,5.1,3.4,12.2,90.1,51.1,,,,,,,
18,Milt Plum\PlumMi00,DET,32,qb,9,6,1-4-1,86,172,50.0,925,4,2.3,8,4.7,43,5.4,3.8,10.8,102.8,54.5,,,,,,,
19,Bill Nelsen\NelsBi00,PIT,26,qb,8,5,1-3-1,74,165,44.8,1125,10,6.1,9,5.5,58,6.8,5.6,15.2,140.6,65.3,,,,,,2,1
20,Craig Morton\MortCr00,DAL,24,qb,9,3,2-1-0,69,137,50.4,978,10,7.3,10,7.3,64,7.1,5.3,14.2,108.7,67.7,,,,,,1,1
21,Ron Vander Kelen\VandRo00,MIN,28,qb,11,3,0-3-0,45,115,39.1,522,3,2.6,7,6.1,42,4.5,2.3,11.6,47.5,36.9,,,,,,,
22,Zeke Bratkowski\BratZe00,GNB,36,qb,6,2,1-1-0,53,94,56.4,724,5,5.3,9,9.6,86,7.7,4.5,13.7,120.7,59.3,,,,,,0,1
23,George Mira\MiraGe00,SFO,25,qb,3,2,2-0-0,35,65,53.8,592,5,7.7,3,4.6,58,9.1,8.6,16.9,197.3,91.3,,,,,,,
24,Terry Nofsinger\NofsTe00,ATL,29,qb,7,1,0-1-0,30,60,50.0,352,1,1.7,2,3.3,38,5.9,4.7,11.7,50.3,59.9,,,,,,1,0
25,Steve Spurrier\SpurSt00,SFO,22,P,14,2,0-2-0,23,50,46.0,211,0,0.0,7,14.0,21,4.2,-2.1,9.2,15.1,18.4,,,,,,,
26,Larry Rakestraw\RakeLa00,CHI,25,qb,5,2,0-2-0,21,44,47.7,228,3,6.8,2,4.5,34,5.2,4.5,10.9,45.6,67.2,,,,,,,
27,Gary Lane\LaneGa00,CLE,25,qb,3,1,0-1-0,21,43,48.8,254,2,4.7,1,2.3,23,5.9,5.8,12.1,84.7,73.2,,,,,,,
28,Rudy Bukich\BukiRu00,CHI,37,,3,,,18,33,54.5,185,0,0.0,2,6.1,30,5.6,2.9,10.3,61.7,45.6,,,,,,,
29,Charley Johnson\JohnCh02,STL,29,qb,5,,,12,29,41.4,162,1,3.4,3,10.3,36,5.6,1.6,13.5,32.4,31.8,,,,,,,
30,Don Horn\HornDo00,GNB,22,,3,,,12,24,50.0,171,1,4.2,1,4.2,29,7.1,6.1,14.3,57.0,70.0,,,,,,,
31,Earl Morrall\MorrEa00,NYG,33,,8,,,13,24,54.2,181,3,12.5,1,4.2,27,7.5,8.2,13.9,22.6,100.9,,,,,,,
32,Jim Ninowski\NinoJi00,WAS,31,,14,,,12,18,66.7,123,0,0.0,1,5.6,31,6.8,4.3,10.3,8.8,63.0,,,,,,,
33,Jerry Rhome\RhomJe00,DAL,25,,14,,,9,18,50.0,86,0,0.0,1,5.6,19,4.8,2.3,9.6,6.1,40.5,,,,,,,
34,Steve Sloan\SloaSt00,ATL,23,qb,5,1,0-1-0,4,18,22.2,38,0,0.0,2,11.1,15,2.1,-2.9,9.5,7.6,0.0,,,,,,,
35,Jim Ward\WardJi00,BAL,23,,6,,,9,16,56.3,115,2,12.5,1,6.3,21,7.2,6.9,12.8,19.2,92.4,,,,,,,
36,Gary Wood\WoodGa00,NOR,25,,2,,,5,11,45.5,62,0,0.0,0,0.0,27,5.6,5.6,12.4,31.0,63.4,,,,,,,
37,Bill Munson\MunsBi00,RAM,26,,5,,,5,10,50.0,38,1,10.0,2,20.0,18,3.8,-3.2,7.6,7.6,53.3,,,,,,,
38,Dick Shiner\ShinDi00,CLE,25,,13,,,3,9,33.3,34,0,0.0,1,11.1,21,3.8,-1.2,11.3,2.6,6.0,,,,,,,
39,Dick Hoak\HoakDi00,PIT,28,,14,2,,4,8,50.0,69,1,12.5,1,12.5,21,8.6,5.5,17.3,4.9,79.7,,,,,,,
40,Bob Berry\BerrBo00,MIN,25,,2,,,3,7,42.9,43,0,0.0,0,0.0,21,6.1,6.1,14.3,21.5,63.4,,,,,,,
41,King Hill\HillKi00,PHI,31,,1,,,2,7,28.6,33,1,14.3,0,0.0,18,4.7,7.6,16.5,33.0,86.3,,,,,,,
42,Dan Reeves\ReevDa00,DAL,23,HB,14,14,,4,7,57.1,195,2,28.6,1,14.3,74,27.9,27.1,48.8,13.9,101.8,,,,,,,
